BN,School_Year,Start_Date,Overall_Rating,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_1.5,Indicator_1.6,Indicator_1.7,IndicatorOverall_1,Indicator_2.1,Indicator_2.2,Indicator_2.3,Indicator_2.4,Indicator_2.5,Indicator_2.6,Indicator_2.7,IndicatorOverall_2,Indicator_3.1,Indicator_3.2,Indicator_3.3,Indicator_3.4,Indicator_3.5,Indicator_3.6,Indicator_3.7,Indicator_3.8,IndicatorOverall_3,Indicator_4.1,Indicator_4.2,Indicator_4.3,Indicator_4.4,Indicator_4.5,Indicator_4.6,Indicator_4.7,IndicatorOverall_4,Indicator_5.1,Indicator_5.2,Indicator_5.3,Indicator_5.4,Indicator_5.5,Indicator_5.6,Indicator_5.7,IndicatorOverall_5
K068,2007-08,2007-10-04T00:00:00.000,P,P,P,P,P,UPF,P,P,P,WD,P,P,P,P,UPF,P,P,P,P,P,UPF,P,P,WD,No Data,P,WD,P,WD,WD,P,WD,WD,WD,WD,P,P,P,P,P,WD,P
K206,2007-08,2007-10-04T00:00:00.000,WD,O,O,O,O,O,WD,WD,WD,O,O,O,O,WD,WD,WD,WD,O,O,O,O,O,O,O,No Data,O,WD,O,O,O,O,O,O,O,O,WD,O,O,O,WD,WD,WD
Q074,2007-08,2007-10-04T00:00:00.000,WD,O,WD,WD,WD,WD,WD,O,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,O,O,No Data,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,O,WD
Q130,2007-08,2007-10-04T00:00:00.000,P,P,WD,WD,UPF,P,P,UPF,P,UPF,P,WD,UPF,P,WD,WD,P,P,WD,WD,WD,P,O,WD,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,P,P,P,P,P,UPF,P,P
Q221,2007-08,2007-10-04T00:00:00.000,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,O,O,WD,O,WD,No Data,WD,WD,O,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q242,2007-08,2007-10-04T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,O,WD,WD,WD,O,O,O,O,O,O,O,No Data,O,O,O,O,O,O,O,O,O,WD,WD,O,WD,WD,WD,WD,WD
Q272,2007-08,2007-10-04T00:00:00.000,P,P,WD,WD,P,WD,P,P,P,P,WD,WD,P,WD,P,P,P,WD,WD,P,P,WD,WD,WD,No Data,WD,P,P,P,WD,WD,P,P,P,P,P,P,P,P,P,WD,P
Q494,2007-08,2007-10-04T00:00:00.000,P,WD,P,P,UPF,P,P,P,P,P,P,P,P,P,WD,P,P,P,WD,P,UPF,WD,WD,UPF,No Data,P,WD,UPF,P,WD,P,UPF,WD,P,UPF,P,P,P,P,P,P,P
Q496,2007-08,2007-10-04T00:00:00.000,P,P,P,P,UPF,UPF,P,UPF,P,UPF,WD,WD,P,WD,UPF,P,P,P,P,UPF,UPF,P,WD,WD,No Data,P,P,P,P,P,WD,UPF,P,P,P,UPF,P,P,P,P,WD,P
Q680,2007-08,2007-10-05T00:00:00.000,P,WD,P,P,P,P,P,WD,P,WD,P,WD,WD,WD,P,WD,WD,P,WD,WD,P,P,WD,WD,No Data,P,WD,P,WD,WD,WD,WD,WD,WD,UPF,P,P,P,P,P,WD,P
K181,2007-08,2007-10-09T00:00:00.000,WD,O,WD,WD,P,WD,UPF,P,P,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD
K187,2007-08,2007-10-09T00:00:00.000,WD,O,O,O,O,O,O,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD
Q031,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,WD,WD,P,P,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,P,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,WD,WD,P,P
Q107,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q116,2007-08,2007-10-09T00:00:00.000,P,WD,WD,WD,P,P,WD,P,P,P,P,WD,WD,P,P,P,P,WD,WD,P,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,P,P,WD,P
Q129,2007-08,2007-10-09T00:00:00.000,WD,O,O,O,WD,WD,WD,O,WD,WD,O,O,WD,O,O,WD,WD,O,O,O,O,O,O,O,No Data,O,O,WD,O,O,O,O,O,O,P,P,O,WD,O,WD,O,WD
Q160,2007-08,2007-10-09T00:00:00.000,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,P,P,P,P,WD,P,P,WD,WD,WD,No Data,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD
Q161,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,O,O,O,O,O,O,O,O,WD,WD,WD,WD,WD,WD,WD,WD
Q172,2007-08,2007-10-09T00:00:00.000,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,O,O,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,P,P,P,P,WD,P,WD,P
Q173,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,WD,P,WD,P,P,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD
Q174,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
Q175,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,O,O,No Data,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q185,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,O,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q186,2007-08,2007-10-09T00:00:00.000,P,P,WD,P,P,P,P,P,P,P,P,WD,WD,P,P,WD,P,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
Q208,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,WD,P,WD,WD,P,WD,P,WD,WD,P,WD,WD,P,P,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD
Q220,2007-08,2007-10-09T00:00:00.000,WD,O,WD,O,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q268,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,WD,O,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q270,2007-08,2007-10-09T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,P,WD,O,WD,WD,WD,O,WD,P,WD,WD,WD,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,P,P,P,P,WD,P
Q460,2007-08,2007-10-09T00:00:00.000,P,WD,WD,WD,WD,WD,WD,P,WD,P,P,O,P,WD,P,WD,P,WD,WD,WD,P,WD,WD,WD,No Data,WD,P,UPF,P,P,WD,WD,WD,P,UPF,UPF,P,P,P,P,P,P
Q525,2007-08,2007-10-09T00:00:00.000,O,O,O,0,WD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,WD,O,O,O,No Data,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Q687,2007-08,2007-10-09T00:00:00.000,P,O,P,P,P,WD,WD,P,WD,P,P,WD,P,WD,WD,P,P,WD,WD,P,UPF,WD,WD,P,No Data,P,P,P,UPF,P,WD,P,WD,P,UPF,P,P,P,P,P,P,P
R029,2007-08,2007-10-09T00:00:00.000,WD,O,WD,WD,P,WD,WD,O,WD,O,O,O,O,O,O,WD,O,O,WD,WD,WD,O,O,O,No Data,WD,WD,O,O,O,WD,O,O,O,WD,WD,WD,O,O,WD,O,WD
K197,2007-08,2007-10-10T00:00:00.000,WD,WD,WD,WD,WD,WD,P,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,WD,P,WD,P
Q195,2007-08,2007-10-10T00:00:00.000,P,P,P,P,UPF,P,P,P,P,P,P,WD,P,UPF,WD,WD,P,P,P,UPF,UPF,WD,P,P,No Data,P,P,WD,WD,P,P,WD,P,P,UPF,P,P,P,P,UPF,P,P
Q216,2007-08,2007-10-10T00:00:00.000,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,O,WD,WD,WD,WD,WD,No Data,WD,P,WD,WD,WD,WD,WD,WD,WD,P,P,WD,P,WD,P,WD,P
R007,2007-08,2007-10-10T00:00:00.000,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,O,WD,No Data,WD,WD,WD,O,WD,P,O,WD,WD,P,P,WD,P,WD,P,WD,P
K002,2007-08,2007-10-11T00:00:00.000,O,O,O,WD,O,O,O,WD,O,O,O,O,O,O,WD,WD,O,O,WD,O,WD,O,O,O,No Data,O,O,O,WD,O,O,O,O,O,O,O,O,O,O,O,O,O
K217,2007-08,2007-10-11T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,O,WD,P,WD,O,WD,No Data,WD,WD,WD,O,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
K253,2007-08,2007-10-11T00:00:00.000,WD,O,WD,WD,WD,O,WD,WD,WD,WD,O,O,O,WD,O,WD,WD,WD,WD,O,WD,WD,O,WD,No Data,WD,O,O,WD,WD,WD,O,WD,WD,WD,WD,O,O,WD,WD,O,WD
M218,2007-08,2007-10-11T00:00:00.000,P,P,WD,WD,UPF,P,UPF,P,P,P,P,WD,P,WD,WD,P,P,P,P,P,UPF,P,P,P,No Data,P,P,P,P,WD,P,P,WD,P,UPF,P,P,UPF,P,P,P,P
Q035,2007-08,2007-10-11T00:00:00.000,P,P,P,P,UPF,UPF,UPF,P,P,P,UPF,P,P,P,P,P,P,P,P,P,UPF,P,P,P,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Q036,2007-08,2007-10-11T00:00:00.000,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,P,P,P,WD,P,P,WD,WD,P,No Data,P,WD,WD,P,WD,WD,WD,WD,WD,P,P,P,P,P,P,P,P
Q134,2007-08,2007-10-11T00:00:00.000,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q154,2007-08,2007-10-11T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD
Q181,2007-08,2007-10-11T00:00:00.000,WD,WD,WD,WD,P,WD,P,WD,WD,WD,P,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,No Data,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,P,WD,WD,WD,O,WD
Q184,2007-08,2007-10-11T00:00:00.000,WD,O,O,O,O,WD,P,WD,WD,P,WD,O,WD,O,O,WD,WD,O,O,O,WD,O,O,O,No Data,O,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,P,WD,WD,O,WD
Q191,2007-08,2007-10-11T00:00:00.000,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,O,O,WD,O,O,O,O,O,WD,WD,WD,WD,WD,WD,O,WD
Q214,2007-08,2007-10-11T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,O,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,WD,P,P,P
Q425,2007-08,2007-10-11T00:00:00.000,P,P,WD,WD,P,P,P,P,P,UPF,WD,WD,UPF,P,P,P,P,WD,O,P,P,WD,WD,WD,No Data,WD,UPF,P,P,P,WD,WD,WD,P,UPF,UPF,P,P,P,P,P,P
K138,2007-08,2007-10-12T00:00:00.000,P,WD,WD,WD,P,WD,P,WD,WD,WD,P,WD,P,P,P,P,P,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,P,P,P,P
K255,2007-08,2007-10-12T00:00:00.000,WD,P,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q050,2007-08,2007-10-12T00:00:00.000,P,WD,WD,WD,UPF,WD,UPF,WD,WD,P,WD,WD,WD,UPF,P,UPF,P,P,P,WD,WD,WD,P,WD,No Data,P,WD,P,WD,WD,P,WD,P,P,UPF,UPF,WD,WD,P,P,O,P
Q059,2007-08,2007-10-12T00:00:00.000,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,P,P,P,WD,P,P,WD,P,P,WD,WD,WD,No Data,P,WD,WD,P,WD,WD,WD,WD,WD,P,P,P,P,WD,P,WD,P
Q157,2007-08,2007-10-12T00:00:00.000,WD,O,O,O,O,O,O,O,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,O,O,WD,O,O,No Data,O,WD,O,O,WD,O,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
Q190,2007-08,2007-10-12T00:00:00.000,P,P,WD,WD,P,P,WD,P,P,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
Q203,2007-08,2007-10-12T00:00:00.000,O,O,O,O,O,O,WD,O,O,WD,O,O,O,O,O,O,O,O,O,O,O,O,O,O,No Data,O,O,O,O,O,O,O,O,O,P,O,O,O,O,O,O,O
Q164,2007-08,2007-10-15T00:00:00.000,P,WD,WD,WD,WD,P,WD,P,WD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,No Data,P,WD,WD,P,WD,P,P,P,P,P,P,P,P,P,P,WD,P
Q176,2007-08,2007-10-15T00:00:00.000,WD,O,O,O,O,O,WD,WD,O,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,O,No Data,WD,O,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,O,WD
X075,2007-08,2007-10-15T00:00:00.000,P,UPF,UPF,UPF,UPF,UPF,P,UPF,UPF,P,P,P,P,WD,WD,P,P,P,P,P,P,WD,WD,P,No Data,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,P,WD,P
X144,2007-08,2007-10-15T00:00:00.000,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,O,O,WD,WD,WD,No Data,WD,O,WD,O,O,WD,WD,WD,WD,UPF,WD,WD,WD,P,P,O,P
X152,2007-08,2007-10-15T00:00:00.000,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,No Data,WD,WD,WD,WD,O,WD,O,WD,WD,P,WD,WD,WD,P,P,P,P
Q140,2007-08,2007-10-16T00:00:00.000,WD,WD,WD,WD,P,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,O,P,P,WD,P,P,No Data,P,WD,WD,WD,O,WD,P,O,WD,P,P,WD,WD,WD,WD,WD,WD
R055,2007-08,2007-10-16T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,O,WD,WD,O,WD,WD,No Data,WD,WD,WD,P,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
X019,2007-08,2007-10-16T00:00:00.000,WD,WD,O,WD,UPF,O,UPF,P,P,WD,WD,O,O,O,WD,WD,WD,O,P,WD,P,WD,O,O,No Data,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,O,O,WD
X076,2007-08,2007-10-16T00:00:00.000,O,O,O,O,O,O,WD,O,O,O,O,O,O,O,WD,O,O,O,O,O,O,O,O,O,No Data,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
X106,2007-08,2007-10-16T00:00:00.000,P,P,P,P,UPF,P,P,UPF,P,UPF,WD,WD,UPF,P,P,UPF,P,WD,UPF,UPF,UPF,P,WD,WD,No Data,P,UPF,P,UPF,P,WD,P,P,P,UPF,P,P,P,P,P,UPF,P
X123,2007-08,2007-10-16T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD
X214,2007-08,2007-10-16T00:00:00.000,P,WD,WD,WD,UPF,P,P,P,P,P,P,WD,P,WD,P,P,P,P,P,WD,WD,WD,WD,WD,No Data,WD,WD,WD,P,WD,P,WD,WD,WD,U,P,UPF,UPF,P,UPF,P,UPF
X253,2007-08,2007-10-16T00:00:00.000,P,P,P,P,P,P,P,P,P,WD,WD,P,P,WD,WD,WD,WD,WD,P,P,UPF,WD,WD,WD,No Data,P,P,P,UPF,WD,P,P,WD,P,WD,P,P,P,P,P,P,P
X289,2007-08,2007-10-16T00:00:00.000,P,WD,WD,P,WD,P,P,P,P,P,WD,WD,P,P,P,P,P,WD,P,P,P,P,WD,P,No Data,P,P,P,P,P,WD,P,P,P,WD,WD,WD,WD,WD,P,P,WD
X302,2007-08,2007-10-16T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,P,WD,P
X333,2007-08,2007-10-16T00:00:00.000,WD,WD,WD,WD,WD,WD,P,O,WD,P,WD,O,P,WD,WD,WD,WD,WD,O,WD,P,O,O,O,No Data,WD,O,O,O,O,O,O,O,O,P,WD,WD,WD,WD,P,O,WD
K069,2007-08,2007-10-17T00:00:00.000,WD,WD,WD,WD,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,No Data,WD,WD,O,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,O,WD
R056,2007-08,2007-10-17T00:00:00.000,P,P,P,UPF,UPF,P,P,P,P,P,WD,WD,UPF,P,P,P,P,P,P,WD,UPF,WD,WD,WD,No Data,P,WD,P,P,WD,P,WD,P,P,P,P,P,P,UPF,UPF,P,P
X097,2007-08,2007-10-17T00:00:00.000,P,WD,WD,WD,P,WD,P,WD,WD,P,WD,WD,P,P,P,P,P,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,P,P,P,P,P
X194,2007-08,2007-10-17T00:00:00.000,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,P,P,P,P,P,P,WD,P
K212,2007-08,2007-10-18T00:00:00.000,WD,O,O,O,O,WD,WD,WD,WD,WD,O,O,WD,WD,WD,WD,WD,WD,O,O,O,WD,O,WD,No Data,WD,WD,WD,WD,WD,O,O,O,WD,WD,WD,WD,WD,O,O,O,WD
K381,2007-08,2007-10-18T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,WD,P,WD,P,WD,WD
Q121,2007-08,2007-10-18T00:00:00.000,O,O,O,O,WD,O,O,O,O,O,O,O,O,O,O,WD,O,O,WD,O,O,O,O,O,No Data,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Q147,2007-08,2007-10-18T00:00:00.000,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,O,P,P,P,P,P,WD,P,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,P,P,P,P,P,P
Q163,2007-08,2007-10-18T00:00:00.000,P,UPF,P,P,UPF,P,P,P,P,UPF,P,P,P,P,P,P,P,P,WD,P,UPF,WD,WD,P,No Data,P,WD,WD,P,P,P,WD,P,P,UPF,P,UPF,UPF,P,UPF,P,UPF
Q219,2007-08,2007-10-18T00:00:00.000,WD,WD,O,WD,P,WD,P,P,P,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,O,WD
Q231,2007-08,2007-10-18T00:00:00.000,P,WD,WD,WD,P,P,P,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,UPF,WD,P,WD,No Data,P,WD,WD,P,WD,WD,P,WD,WD,P,P,P,UPF,P,P,WD,P
R011,2007-08,2007-10-18T00:00:00.000,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,No Data,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
R060,2007-08,2007-10-18T00:00:00.000,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,O,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD
X047,2007-08,2007-10-18T00:00:00.000,WD,WD,WD,O,WD,WD,P,WD,WD,WD,O,WD,P,O,O,WD,WD,WD,WD,O,WD,WD,O,WD,No Data,WD,WD,WD,O,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,P,O,WD
X057,2007-08,2007-10-18T00:00:00.000,WD,P,WD,WD,UPF,WD,P,P,P,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,P,O,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
X078,2007-08,2007-10-18T00:00:00.000,P,WD,P,P,UPF,P,P,P,P,WD,WD,WD,P,WD,P,UPF,P,P,P,P,UPF,P,WD,P,No Data,P,P,WD,P,WD,P,P,P,P,P,WD,P,P,P,P,WD,P
X112,2007-08,2007-10-18T00:00:00.000,P,P,WD,P,P,P,P,P,P,P,WD,WD,P,WD,P,UPF,P,P,UPF,WD,WD,WD,WD,P,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,P,P,P,WD,P
X196,2007-08,2007-10-18T00:00:00.000,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD
X211,2007-08,2007-10-18T00:00:00.000,WD,WD,O,O,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD
X312,2007-08,2007-10-18T00:00:00.000,WD,O,WD,WD,O,WD,WD,O,WD,WD,WD,WD,WD,O,WD,WD,WD,O,O,O,WD,O,O,O,No Data,O,WD,WD,O,WD,WD,O,WD,WD,WD,WD,WD,WD,O,WD,O,WD
X418,2007-08,2007-10-18T00:00:00.000,WD,WD,WD,WD,P,WD,P,P,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,P,WD,WD,WD,O,WD,P,WD,WD,WD,WD,WD,WD,WD
K090,2007-08,2007-10-22T00:00:00.000,WD,O,O,O,O,WD,WD,WD,WD,WD,WD,O,WD,O,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD
K176,2007-08,2007-10-22T00:00:00.000,P,P,P,P,P,P,UPF,P,P,UPF,P,P,P,P,P,WD,P,P,WD,P,UPF,P,WD,WD,No Data,P,P,P,P,WD,P,WD,WD,P,UPF,P,P,UPF,P,UPF,P,P
K200,2007-08,2007-10-22T00:00:00.000,WD,WD,WD,WD,WD,P,P,WD,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,P,P,WD,P
M052,2007-08,2007-10-22T00:00:00.000,WD,WD,O,O,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,O,WD,WD,WD,O,WD,No Data,WD,O,O,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD
M326,2007-08,2007-10-22T00:00:00.000,P,P,WD,WD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,UPF,WD,P,WD,No Data,P,P,P,P,P,WD,P,P,P,P,P,P,P,P,P,P,P
Q086,2007-08,2007-10-22T00:00:00.000,P,P,WD,WD,UPF,P,P,P,P,P,WD,WD,UPF,P,P,UPF,P,P,WD,UPF,UPF,WD,P,WD,No Data,P,P,P,UPF,WD,WD,WD,P,P,UPF,UPF,UPF,UPF,P,P,WD,UPF
Q099,2007-08,2007-10-22T00:00:00.000,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,WD,WD,WD,WD,WD,O,WD,WD,O,WD,WD,No Data,WD,WD,WD,O,WD,O,O,O,O,WD,WD,WD,WD,O,O,O,WD
